serial_number,model,capacity_bytes,power_on_hours
PL1331LAHGEVWH,HGST HMS5C4040BLE640,4000787030016,942
PL2331LAGSSBMJ,HGST HMS5C4040ALE640,4000787030016,20936
Z305D6ZM,ST4000DM000,4000787030016,8145
PL1331LAGTU67H,HGST HMS5C4040ALE640,4000787030016,20046
45CHK11RFMYB,TOSHIBA MD04ABA400V,4000787030016,14240
PL1331LAHBSDVH,HGST HMS5C4040BLE640,4000787030016,5795
MJ1311YNG37LLA,Hitachi HDS5C3030ALA630,3000592982016,44873
Z302F3CD,ST4000DM000,4000787030016,16662
PL1331LAGTMUXH,HGST HMS5C4040ALE640,4000787030016,20570
Z4D07W26,ST6000DX000,6001175126016,15416
Z305DEMV,ST4000DM000,4000787030016,9178
PL2331LAGPS2TJ,HGST HMS5C4040ALE640,4000787030016,22449
Z304EZRX,ST4000DM000,4000787030016,4119
S300YQMF,ST4000DM000,4000787030016,11936
ZA13YGBX,ST8000DM002,8001563222016,807
WD-WX41A356N5N1,WDC WD5000LPVX,500107862016,4978
Z305NZ63,ST4000DM000,4000787030016,7521
PL1331LAHBN0EH,HGST HMS5C4040BLE640,4000787030016,4833
PL2331LAGM7YGJ,HGST HMS5C4040BLE640,4000787030016,23434
PL1311LAG1RTPA,Hitachi HDS5C4040ALE630,4000787030016,34258
ZA13YGBR,ST8000DM002,8001563222016,804
PL1311LAG1SJAA,Hitachi HDS5C4040ALE630,4000787030016,33422
S301NGZV,ST4000DM000,4000787030016,10323
Z305GXX4,ST4000DM000,4000787030016,7665
13H85BMGS,TOSHIBA DT01ACA300,3000592982016,28919
ZA13WP4B,ST8000DM002,8001563222016,1550
S300Z53K,ST4000DM000,4000787030016,14313
PL1331LAHD1LMH,HGST HMS5C4040BLE640,4000787030016,4831
ZA12MLSD,ST8000DM002,8001563222016,2245
PL2331LAGUM64J,HGST HMS5C4040ALE640,4000787030016,19757
PL1331LAGLX07H,HGST HMS5C4040BLE640,4000787030016,22766
PL1331LAHD0Z2H,HGST HMS5C4040BLE640,4000787030016,4831
PL1331LAHBN3JH,HGST HMS5C4040BLE640,4000787030016,4831
S3010M7H,ST4000DM000,4000787030016,14003
Z3040J5T,ST4000DM000,4000787030016,9849
S301NGZM,ST4000DM000,4000787030016,10323
S301NGZN,ST4000DM000,4000787030016,10322
MJ0351YNGAD7KA,Hitachi HDS5C3030ALA630,3000592982016,35425
S300Z6KR,ST4000DM000,4000787030016,14290
Z305C1W5,ST4000DM000,4000787030016,8125
PL2331LAHDMG8J,HGST HMS5C4040BLE640,4000787030016,5794
Z305D6Z2,ST4000DM000,4000787030016,7857
Z305C1W3,ST4000DM000,4000787030016,7664
Z300WG7A,ST4000DM000,4000787030016,25915
WD-WX41D94RNAUV,WDC WD60EFRX,6001175126016,17198
PL2331LAGSU7HJ,HGST HMS5C4040ALE640,4000787030016,21393
ZA11F7XW,ST8000DM002,8001563222016,2244
Z3042VED,ST4000DM000,4000787030016,10327
Z305NZMM,ST4000DM000,4000787030016,7015
ZA1211BE,ST8000DM002,8001563222016,4541
Z300WG7R,ST4000DM000,4000787030016,26732
ZA10PMFQ,ST8000DM002,8001563222016,5322
WD-WMC4N0D3U99S,WDC WD30EFRX,3000592982016,14327
Z304HC0R,ST4000DM000,4000787030016,9807
Z302DK2R,ST4000DM000,4000787030016,14992
Z305NZMD,ST4000DM000,4000787030016,7521
Z300WG7Z,ST4000DM000,4000787030016,26734
Z302SW95,ST4000DM000,4000787030016,11940
PL2331LAHDW6GJ,HGST HMS5C4040BLE640,4000787030016,6106
ZA10RYB6,ST8000DM002,8001563222016,3919
MJ0351YNG9T1JA,Hitachi HDS5C3030ALA630,3000592982016,36276
Z305NZM9,ST4000DM000,4000787030016,7015
Z305AJF7,ST4000DM000,4000787030016,8484
ZA10RYBE,ST8000DM002,8001563222016,3919
PL1321LAG35ABH,Hitachi HDS5C4040ALE630,4000787030016,32730
PL1331LAHBGDRH,HGST HMS5C4040BLE640,4000787030016,949
ZA10RYBF,ST8000DM002,8001563222016,4665
ZA10RYBZ,ST8000DM002,8001563222016,3919
S300ZAHV,ST4000DM000,4000787030016,10681
PL2331LAHDMW6J,HGST HMS5C4040BLE640,4000787030016,6107
MJ1311YNG7BH3A,Hitachi HDS5C3030ALA630,3000592982016,41097
ZA10RYBR,ST8000DM002,8001563222016,3918
ZA13GLPN,ST8000DM002,8001563222016,807
Z1Z0432J,ST4000DX000,4000787030016,31840
S301NGZ7,ST4000DM000,4000787030016,10832
PL2331LAGMNWSJ,HGST HMS5C4040BLE640,4000787030016,23720
PL2331LAGN4BUJ,HGST HMS5C4040BLE640,4000787030016,22785
S3010M78,ST4000DM000,4000787030016,14002
PL2331LAGN2H9J,HGST HMS5C4040BLE640,4000787030016,23221
Z3029FT4,ST4000DM000,4000787030016,17738
S301NGZ8,ST4000DM000,4000787030016,10826
S3010M72,ST4000DM000,4000787030016,12797
MJ1311YNG7KRHA,Hitachi HDS5C3030ALA630,3000592982016,41427
S300Z6KD,ST4000DM000,4000787030016,13186
Z3041C28,ST4000DM000,4000787030016,10981
ZA13Z86K,ST8000DM002,8001563222016,806
PL1331LAGRKM2H,HGST HMS5C4040ALE640,4000787030016,21752
PL2331LAGSSVGJ,HGST HMS5C4040ALE640,4000787030016,21537
Z305GWY6,ST4000DM000,4000787030016,7665
Z300CWTK,ST4000DM000,4000787030016,29046
PL1331LAGM1YLH,HGST HMS5C4040BLE640,4000787030016,22784
Z305GWY3,ST4000DM000,4000787030016,7666
Z304HWJW,ST4000DM000,4000787030016,10326
MJ1311YNG305JA,Hitachi HDS5C3030ALA630,3000592982016,45122
S301GMGT,ST4000DM000,4000787030016,10329
PL1331LAHD3UZH,HGST HMS5C4040BLE640,4000787030016,4997
PL2331LAHDWSPJ,HGST HMS5C4040BLE640,4000787030016,6107
ZA10C2HT,ST8000DM002,8001563222016,4543
MJ0351YNGA8W5A,Hitachi HDS5C3030ALA630,3000592982016,34948
Z4D07B6E,ST6000DX000,6001175126016,16349
PL2331LAGN14HJ,HGST HMS5C4040BLE640,4000787030016,23721
MJ0351YNG9UYDA,Hitachi HDS5C3030ALA630,3000592982016,36714
Z301CSGE,ST4000DM000,4000787030016,14362
W300JMQL,ST4000DM000,4000787030016,29677
Z300PAB5,ST4000DM000,4000787030016,28253
S300Z8GK,ST4000DM000,4000787030016,13159
Z4D07BS4,ST6000DX000,6001175126016,16061
Z304HQRL,ST4000DM000,4000787030016,10113
S300Z6KL,ST4000DM000,4000787030016,12796
ZA13R7BC,ST8000DM002,8001563222016,807
Z4D08G5K,ST6000DX000,6001175126016,15199
PL2331LAHA8KNJ,HGST HMS5C4040BLE640,4000787030016,6181
Z3025S3J,ST4000DM000,4000787030016,18073
PL1331LAGSMU7H,HGST HMS5C4040ALE640,4000787030016,21222
ZA12YPPQ,ST8000DM002,8001563222016,2245
ZA10YJEW,ST8000DM002,8001563222016,4664
MJ1311YNG56L7A,Hitachi HDS5C3030ALA630,3000592982016,41428
MJ1321YNG0R20A,Hitachi HDS5C3030ALA630,3000592982016,47285
ZA10YJES,ST8000DM002,8001563222016,4543
PL1331LAGRNP4H,HGST HMS5C4040ALE640,4000787030016,22450
MJ1323YNG1PU0C,Hitachi HDS5C3030ALA630,3000592982016,46535
MJ1323YNG1HAJC,Hitachi HDS5C3030ALA630,3000592982016,46569
PL1311LAG3DT5H,Hitachi HDS5C4040ALE630,4000787030016,31930
W300T22A,ST4000DM000,4000787030016,23462
MJ1311YNG7827A,Hitachi HDS5C3030ALA630,3000592982016,41407
Z305P08A,ST4000DM000,4000787030016,7520
PL1311LAG3A4WH,Hitachi HDS5C4040ALE630,4000787030016,32111
ZA12KZ1S,ST8000DM002,8001563222016,3703
PL2331LAH2V9YJ,HGST HMS5C4040BLE640,4000787030016,6181
Z300DPXN,ST4000DM000,4000787030016,25865
PL1331LAGTXD9H,HGST HMS5C4040ALE640,4000787030016,20659
W300AHNX,ST4000DM000,4000787030016,30971
MK0331YHGS0X1A,Hitachi HDS723030ALA640,3000592982016,43837
Z305G2QK,ST4000DM000,4000787030016,7494
PL1331LAGT9J6H,HGST HMS5C4040ALE640,4000787030016,20743
PL1331LAGSHNDH,HGST HMS5C4040ALE640,4000787030016,20912
Z3012XER,ST4000DM000,4000787030016,23361
Z3029F40,ST4000DM000,4000787030016,18034
MJ1311YNG4GJTA,Hitachi HDS5C3030ALA630,3000592982016,47539
Z305P08X,ST4000DM000,4000787030016,7015
Z304HQR4,ST4000DM000,4000787030016,10158
MJ1323YNG1SEWC,Hitachi HDS5C3030ALA630,3000592982016,46569
PL1331LAHDYUMH,HGST HMS5C4040BLE640,4000787030016,6181
S301NYES,ST4000DM000,4000787030016,10322
Z304SY3R,ST4000DM000,4000787030016,9178
Z305GWYV,ST4000DM000,4000787030016,7667
Z305GWYP,ST4000DM000,4000787030016,7016
Z300PABB,ST4000DM000,4000787030016,28257
PL1331LAHBZ6HH,HGST HMS5C4040BLE640,4000787030016,6181
Z304H3GQ,ST4000DM000,4000787030016,8502
PL1331LAHDZVXH,HGST HMS5C4040BLE640,4000787030016,6181
Z305GWYE,ST4000DM000,4000787030016,7665
Z305GWYF,ST4000DM000,4000787030016,7666
Z300X9EE,ST4000DM000,4000787030016,26117
PL1331LAGRVEVH,HGST HMS5C4040ALE640,4000787030016,22449
PL1331LAHD376H,HGST HMS5C4040BLE640,4000787030016,4830
Z30147XZ,ST4000DM000,4000787030016,25609
Z302ALB7,ST4000DM000,4000787030016,13356
S3010LNH,ST4000DM000,4000787030016,11921
WD-WXL1H644SYHA,WDC WD60EFRX,6001175126016,18154
PL1331LAGSJ2RH,HGST HMS5C4040ALE640,4000787030016,20767
PL1311LAG3DPVH,Hitachi HDS5C4040ALE630,4000787030016,31930
Z300X8B1,ST4000DM000,4000787030016,27725
PL2331LAGN1BNJ,HGST HMS5C4040BLE640,4000787030016,23386
Z3058SC7,ST4000DM000,4000787030016,8480
WD-WXG1EC3SFRL1,WDC WD5000LPVX,500107862016,22233
PL1311LAG3DDBH,Hitachi HDS5C4040ALE630,4000787030016,33447
S300Z602,ST4000DM000,4000787030016,13191
Z305DFXC,ST4000DM000,4000787030016,8103
S300Z606,ST4000DM000,4000787030016,12798
Z302FCJQ,ST4000DM000,4000787030016,16665
S300YC5D,ST4000DM000,4000787030016,12796
S300Z608,ST4000DM000,4000787030016,13838
MJ0351YNG9UPVA,Hitachi HDS5C3030ALA630,3000592982016,36358
Z305F6MW,ST4000DM000,4000787030016,7015
PL2331LAHDWRRJ,HGST HMS5C4040BLE640,4000787030016,6105
WD-WCC4N0337188,WDC WD30EFRX,3000592982016,26759
Z305AT6T,ST4000DM000,4000787030016,9344
ZA10YPST,ST8000DM002,8001563222016,4543
ZA12NA8P,ST8000DM002,8001563222016,3703
S300Z562,ST4000DM000,4000787030016,14303
PL2331LAGMVALJ,HGST HMS5C4040BLE640,4000787030016,23431
MJ1311YNG335HA,Hitachi HDS5C3030ALA630,3000592982016,44851
Z305DNYD,ST4000DM000,4000787030016,9486
WD-WMC4N1066434,WDC WD30EFRX,3000592982016,20881
PL2331LAGUMG5J,HGST HMS5C4040ALE640,4000787030016,19734
ZA10C2Q4,ST8000DM002,8001563222016,4542
S301GRH4,ST4000DM000,4000787030016,10329
S301GML1,ST4000DM000,4000787030016,10328
PL1331LAHD2SSH,HGST HMS5C4040BLE640,4000787030016,4999
Z3015JRG,ST4000DM000,4000787030016,22694
Z305KB3Y,ST4000DM000,4000787030016,7016
MJ1311YNG2HLEA,Hitachi HDS5C3030ALA630,3000592982016,41405
PL1331LAGTSPPH,HGST HMS5C4040ALE640,4000787030016,20046
2EG16MZJ,HGST HUH728080ALE600,8001563222016,16712
PL1331LAHD34AH,HGST HMS5C4040BLE640,4000787030016,4999
S301GMLL,ST4000DM000,4000787030016,12145
Z302AJZK,ST4000DM000,4000787030016,13353
Z302BS8M,ST4000DM000,4000787030016,17001
S301GMLG,ST4000DM000,4000787030016,11243
ZA10835M,ST8000DM002,8001563222016,5320
Z303ZLN0,ST4000DM000,4000787030016,9477
S300ZQSY,ST4000DM000,4000787030016,13160
Z305KB36,ST4000DM000,4000787030016,7012
Z305KB37,ST4000DM000,4000787030016,7495
S301GMLY,ST4000DM000,4000787030016,11695
PL1331LAGTX8XH,HGST HMS5C4040ALE640,4000787030016,19861
MJ0351YNG9WKPA,Hitachi HDS5C3030ALA630,3000592982016,36525
PL2331LAH3W3TJ,HGST HMS5C4040BLE640,4000787030016,6585
PL1331LAHD53BH,HGST HMS5C4040BLE640,4000787030016,2029
PL1331LAGSRSSH,HGST HMS5C4040ALE640,4000787030016,20575
MK0311YHG54HVA,Hitachi HDS723030ALA640,3000592982016,48602
Z3051NNA,ST4000DM000,4000787030016,9343
S300Z60F,ST4000DM000,4000787030016,13834
Z3058SCW,ST4000DM000,4000787030016,8481
S300Z60H,ST4000DM000,4000787030016,12802
ZA12REYA,ST8000DM002,8001563222016,3919
S300Z60N,ST4000DM000,4000787030016,12799
PL1331LAGLZRMH,HGST HMS5C4040BLE640,4000787030016,24251
S301F4DC,ST4000DM000,4000787030016,11695
PL1331LAGSDL8H,HGST HMS5C4040ALE640,4000787030016,22283
PL1311LAG3ANBH,Hitachi HDS5C4040ALE630,4000787030016,27293
Z300WD5W,ST4000DM000,4000787030016,26687
S300Z60P,ST4000DM000,4000787030016,13353
PL1331LAGRG0RH,HGST HMS5C4040ALE640,4000787030016,22447
Z300X8BC,ST4000DM000,4000787030016,26407
Z3025LZX,ST4000DM000,4000787030016,19429
S300Z60T,ST4000DM000,4000787030016,14290
PL2331LAGJMRUJ,HGST HMS5C4040BLE640,4000787030016,24133
S300Z60X,ST4000DM000,4000787030016,14290
Z302T6HP,ST4000DM000,4000787030016,11222
PL2331LAGMEVNJ,HGST HMS5C4040BLE640,4000787030016,23722
Z302W65F,ST4000DM000,4000787030016,9176
Z305D6LL,ST4000DM000,4000787030016,7856
Z305D6LK,ST4000DM000,4000787030016,7855
Z305D6LH,ST4000DM000,4000787030016,8142
MK0333YHGPG1KC,Hitachi HDS723030ALA640,3000592982016,44163
PL1331LAH3906H,HGST HMS5C4040BLE640,4000787030016,949
W300MA9F,ST4000DM000,4000787030016,18077
Z30153N5,ST4000DM000,4000787030016,23908
MJ1311YNG7JJHA,Hitachi HDS5C3030ALA630,3000592982016,41114
Z300F92X,ST4000DM000,4000787030016,25274
PL2331LAGUMSYJ,HGST HMS5C4040ALE640,4000787030016,20027
Z305D6LA,ST4000DM000,4000787030016,1830
Z300VK6X,ST4000DM000,4000787030016,23363
Z300E2F8,ST4000DM000,4000787030016,29022
PL1331LAGRT08H,HGST HMS5C4040ALE640,4000787030016,22357
MK0301YHGN0HPD,Hitachi HDS723030ALA640,3000592982016,43842
Z30240QK,ST4000DM000,4000787030016,19400
Z305D6LR,ST4000DM000,4000787030016,9326
Z305D6LS,ST4000DM000,4000787030016,7856
Z305839N,ST4000DM000,4000787030016,8484
W300CXPK,ST4000DM000,4000787030016,27717
S301GRV9,ST4000DM000,4000787030016,10323
PL2321LAGARUXJ,Hitachi HDS5C4040ALE630,4000787030016,32231
Z3027HJM,ST4000DM000,4000787030016,15991
Z300YN68,ST4000DM000,4000787030016,14672
ZA127XYT,ST8000DM002,8001563222016,4522
S300K7DE,ST4000DM000,4000787030016,18420
PL1331LAGSMJAH,HGST HMS5C4040ALE640,4000787030016,22113
ZA13ZVV0,ST8000DM002,8001563222016,807
WD-WXK1H644HE27,WDC WD60EFRX,6001175126016,18155
WD-WX81A74A5KCF,WDC WD5000LPVX,500107862016,18706
Z304JE2N,ST4000DM000,4000787030016,10307
PL2331LAGN487J,HGST HMS5C4040BLE640,4000787030016,22615
Z3040QAT,ST4000DM000,4000787030016,11504
PL2331LAHB8TJJ,HGST HMS5C4040BLE640,4000787030016,949
PL1331LAHBXSMH,HGST HMS5C4040BLE640,4000787030016,4831
Z305GBX4,ST4000DM000,4000787030016,7665
PL2331LAGMSHTJ,HGST HMS5C4040BLE640,4000787030016,23720
PL1331LAHD3R2H,HGST HMS5C4040BLE640,4000787030016,925
MJ0351YNGA6MBA,Hitachi HDS5C3030ALA630,3000592982016,35948
Z3025ZDZ,ST4000DM000,4000787030016,19446
S3010MDK,ST4000DM000,4000787030016,11921
Z300YN6R,ST4000DM000,4000787030016,19184
PL2331LAHBSXSJ,HGST HMS5C4040BLE640,4000787030016,4831
PL1311LAG3B9EH,Hitachi HDS5C4040ALE630,4000787030016,32763
PL1331LAGM1P5H,HGST HMS5C4040BLE640,4000787030016,24152
Z3040QA7,ST4000DM000,4000787030016,10328
Z3011WWC,ST4000DM000,4000787030016,25472
Z305MVJZ,ST4000DM000,4000787030016,7015
PL2331LAGMJS7J,HGST HMS5C4040BLE640,4000787030016,21589
MJ1311YNG6T8XA,Hitachi HDS5C3030ALA630,3000592982016,41404
S2ZYJ9FG405092,ST500LM012 HN,500107862016,9496
MJ0351YNGA6BBA,Hitachi HDS5C3030ALA630,3000592982016,35447
S301GRVG,ST4000DM000,4000787030016,10322
MJ1311YNG6XKGA,Hitachi HDS5C3030ALA630,3000592982016,41486
WD-WCC4N0933742,WDC WD30EFRX,3000592982016,22856
PL2331LAH2SX7J,HGST HMS5C4040BLE640,4000787030016,6585
Z300E2FH,ST4000DM000,4000787030016,29079
MJ0351YNG9WUJA,Hitachi HDS5C3030ALA630,3000592982016,35995
MK0301YHGDPE9A,Hitachi HDS723030ALA640,3000592982016,43842
ZA10BWBE,ST8000DM002,8001563222016,5315
Z4D05CP5,ST6000DX000,6001175126016,15414
Z305D6L9,ST4000DM000,4000787030016,9487
ZA1150XD,ST8000DM002,8001563222016,4664
PL1331LAHD2ZEH,HGST HMS5C4040BLE640,4000787030016,5793
Z305DFW6,ST4000DM000,4000787030016,4286
PL1331LAHD61NH,HGST HMS5C4040BLE640,4000787030016,5000
ZA12WYY1,ST8000NM0055,8001563222016,807
PL2331LAGMX7NJ,HGST HMS5C4040BLE640,4000787030016,22764
PL1331LAGSR29H,HGST HMS5C4040ALE640,4000787030016,21539
ZA12WYY2,ST8000NM0055,8001563222016,806
PL2311LAG1J3GC,Hitachi HDS5C4040ALE630,4000787030016,34565
ZA13YGBG,ST8000DM002,8001563222016,807
X4OHK094FMXB,TOSHIBA MD04ABA500V,5000981078016,16162
PL2331LAGUHEJJ,HGST HMS5C4040ALE640,4000787030016,19758
PL2331LAHDBUGJ,HGST HMS5C4040BLE640,4000787030016,5793
Z305DVVA,ST4000DM000,4000787030016,6853
S30115T2,ST4000DM000,4000787030016,14988
Z305PFPX,ST4000DM000,4000787030016,7470
Z3056YY7,ST4000DM000,4000787030016,8484
PL2331LAHBWR8J,HGST HMS5C4040BLE640,4000787030016,4831
ZA11PPJC,ST8000DM002,8001563222016,3918
Z4D06WP2,ST6000DX000,6001175126016,15079
Z3011WE3,ST4000DM000,4000787030016,25472
Z4D06WP6,ST6000DX000,6001175126016,16162
Z4D06WP4,ST6000DX000,6001175126016,15415
PL1331LAGTWBWH,HGST HMS5C4040ALE640,4000787030016,20598
Z4D0AZZR,ST6000DX000,6001175126016,15199
Z302SSEG,ST4000DM000,4000787030016,11245
Z305PFPA,ST4000DM000,4000787030016,7470
PL1331LAGS7VZH,HGST HMS5C4040ALE640,4000787030016,21201
PL2331LAGJ9VEJ,HGST HMS5C4040BLE640,4000787030016,24133
PL2331LAHDWSYJ,HGST HMS5C4040BLE640,4000787030016,6106
Z30100S9,ST4000DM000,4000787030016,25469
MJ0351YNGA0YXA,Hitachi HDS5C3030ALA630,3000592982016,36780
S300WDRB,ST4000DM000,4000787030016,12825
Z4D05J4V,ST6000DX000,6001175126016,21065
MJ0351YNGA6XTA,Hitachi HDS5C3030ALA630,3000592982016,35469
PL1331LAGRZ5UH,HGST HMS5C4040ALE640,4000787030016,22401
PL1321LAGAXLJH,Hitachi HDS5C4040ALE630,4000787030016,32232
Z3029FA3,ST4000DM000,4000787030016,18125
Z305DVV6,ST4000DM000,4000787030016,6181
S2ZYJ9CG108655,ST500LM012 HN,500107862016,11263
Z304VHKP,ST4000DM000,4000787030016,7666
PL2331LAHB97HJ,HGST HMS5C4040BLE640,4000787030016,4831
S2ZYJ9CG108651,ST500LM012 HN,500107862016,10853
ZA10BAYR,ST8000DM002,8001563222016,4542
PL1331LAGTDNVH,HGST HMS5C4040ALE640,4000787030016,20721
PL2331LAGPMDKJ,HGST HMS5C4040ALE640,4000787030016,22448
PL1331LAHDYA3H,HGST HMS5C4040BLE640,4000787030016,6107
Z3026Z37,ST4000DM000,4000787030016,16665
Z3055YPL,ST4000DM000,4000787030016,9178
PL2331LAHDUR2J,HGST HMS5C4040BLE640,4000787030016,6106
MJ0351YNGA5UGA,Hitachi HDS5C3030ALA630,3000592982016,34777
PL1331LAGTXAJH,HGST HMS5C4040ALE640,4000787030016,19758
WD-WMAYV2811694,WDC WD1600AAJS,160041885696,35237
PL1331LAHBMYGH,HGST HMS5C4040BLE640,4000787030016,4832
ZA10PMF2,ST8000DM002,8001563222016,4543
Z305PVQ0,ST4000DM000,4000787030016,7470
PL2331LAGSV2SJ,HGST HMS5C4040ALE640,4000787030016,21367
Z305DFWE,ST4000DM000,4000787030016,8103
6VDJ06TH,ST9320325AS,320072933376,25050
PL1331LAGR5TTH,HGST HMS5C4040ALE640,4000787030016,22545
S301PVNF,ST4000DM000,4000787030016,9361
PL1331LAGRZPVH,HGST HMS5C4040ALE640,4000787030016,22566
MJ1311YNG7HG8A,Hitachi HDS5C3030ALA630,3000592982016,41426
Z305DHAJ,ST4000DM000,4000787030016,7851
PL1331LAHD60TH,HGST HMS5C4040BLE640,4000787030016,5000
Z305DHAC,ST4000DM000,4000787030016,7854
S3007Y0W,ST4000DM000,4000787030016,24103
Z304GH4N,ST4000DM000,4000787030016,10307
W300AMGV,ST4000DM000,4000787030016,30128
Z4D03TCB,ST6000DX000,6001175126016,19416
PL1331LAH168TH,HGST HMS5C4040BLE640,4000787030016,6568
WD-WCC4N0945820,WDC WD30EFRX,3000592982016,22145
ZA13Z860,ST8000DM002,8001563222016,807
Z3042A02,ST4000DM000,4000787030016,11504
Z305DHAZ,ST4000DM000,4000787030016,8102
Z305DHAY,ST4000DM000,4000787030016,7854
W3015JSX,ST4000DM000,4000787030016,1083
ZA11PJS2,ST8000DM002,8001563222016,4665
PL1331LAGT5U3H,HGST HMS5C4040ALE640,4000787030016,20720
PL1331LAGLZJ3H,HGST HMS5C4040BLE640,4000787030016,24055
Z305DHAS,ST4000DM000,4000787030016,7854
S30070G5,ST4000DM000,4000787030016,24106
Z30179K1,ST4000DM000,4000787030016,24612
WD-WCC4E0648322,WDC WD40EFRX,4000787030016,24771
W30068FE,ST4000DM000,4000787030016,29649
45D7K12ZFMYB,TOSHIBA MD04ABA400V,4000787030016,14242
ZA12KZ1K,ST8000DM002,8001563222016,2245
Z303Y2WD,ST4000DM000,4000787030016,11480
ZA12KZ1F,ST8000DM002,8001563222016,3702
ZA12KZ1G,ST8000DM002,8001563222016,3919
ZA12KZ1D,ST8000DM002,8001563222016,3702
ZA12KZ1E,ST8000DM002,8001563222016,3919
ZA12KZ1B,ST8000DM002,8001563222016,3918
Z3010DB3,ST4000DM000,4000787030016,18845
S3010LFT,ST4000DM000,4000787030016,11937
ZA10S9BM,ST8000DM002,8001563222016,5341
Z300X922,ST4000DM000,4000787030016,26692
S301094G,ST4000DM000,4000787030016,14313
S2ZYJ9KG927385,ST500LM012 HN,500107862016,8073
ZA12KZ1X,ST8000DM002,8001563222016,3918
ZA12KZ1V,ST8000DM002,8001563222016,3899
Z252E8NAS,TOSHIBA DT01ACA300,3000592982016,33415
PL2331LAGN2KPJ,HGST HMS5C4040BLE640,4000787030016,22762
Z3058LG6,ST4000DM000,4000787030016,9340
ZA12KZ1R,ST8000DM002,8001563222016,3703
Z3010TMR,ST4000DM000,4000787030016,19208
ZA12KZ1P,ST8000DM002,8001563222016,3919
ZA12KZ1Q,ST8000DM002,8001563222016,3919
PL2331LAGN5T0J,HGST HMS5C4040BLE640,4000787030016,22448
Z30179KR,ST4000DM000,4000787030016,24749
PL2331LAH2T3SJ,HGST HMS5C4040BLE640,4000787030016,6181
Z300WP1E,ST4000DM000,4000787030016,27729
Z300ZTJN,ST4000DM000,4000787030016,19208
ZA13YG9P,ST8000DM002,8001563222016,807
PL1331LAGRYKHH,HGST HMS5C4040ALE640,4000787030016,22400
PL1331LAGSPXYH,HGST HMS5C4040ALE640,4000787030016,21445
PL1331LAHDY70H,HGST HMS5C4040BLE640,4000787030016,5792
PL1331LAGSHSJH,HGST HMS5C4040ALE640,4000787030016,22257
ZA13YG9V,ST8000DM002,8001563222016,806
PL1311LAG3EE4H,Hitachi HDS5C4040ALE630,4000787030016,32767
Z305G364,ST4000DM000,4000787030016,7665
ZA13YG9K,ST8000DM002,8001563222016,804
Z305G360,ST4000DM000,4000787030016,7667
PL1331LAGSAAGH,HGST HMS5C4040ALE640,4000787030016,21923
ZA12KZ18,ST8000DM002,8001563222016,3614
ZA12KZ19,ST8000DM002,8001563222016,3919
Z300ZTJQ,ST4000DM000,4000787030016,19039
ZA12KZ17,ST8000DM002,8001563222016,3918
PL1331LAHD1EHH,HGST HMS5C4040BLE640,4000787030016,4831
ZA12KZ15,ST8000DM002,8001563222016,3918
ZA12KZ12,ST8000DM002,8001563222016,3919
PL1331LAGSG4GH,HGST HMS5C4040ALE640,4000787030016,22282
ZA108SHY,ST8000DM002,8001563222016,1551
PL1331LAGS1ANH,HGST HMS5C4040ALE640,4000787030016,20746
